Time Stamp,Round1-Sol-R836_x,Round1-Sol-R836_y,Round1-Sol-R836_z
20240313_233934,-2.444,-9.915308,1.086
20240313_233934,-2.444,-9.907819,1.086
20240313_233934,-2.444,-9.910537,1.086
20240313_233934,-2.444,-9.912136,1.086
20240313_233934,-2.444,-9.914177,1.086
20240313_233934,-2.444,-9.915919,1.086
20240313_233934,-2.444,-9.917644,1.086
20240313_233934,-2.444,-9.918974,1.086
20240313_233934,-2.444,-9.920233,1.086
20240313_233935,-2.444,-9.921396,1.086
20240313_233935,-2.444,-9.922681,1.086
20240313_233935,-2.444,-9.923742,1.086
20240313_233935,-2.444,-9.924408,1.086
20240313_233935,-2.444,-9.924791,1.086
20240313_233935,-2.444,-9.92514,1.086
20240313_233935,-2.444,-9.925299,1.086
20240313_233935,-2.444,-9.925261,1.086
20240313_233935,-2.444,-9.924944,1.086
20240313_233935,-2.444,-9.924479,1.086
20240313_233935,-2.444,-9.923834,1.086
20240313_233935,-2.444,-9.922797,1.086
20240313_233935,-2.444,-9.921533,1.086
20240313_233935,-2.444,-9.920079,1.086
20240313_233935,-2.444,-9.91881,1.086
20240313_233935,-2.444,-9.917472,1.086
20240313_233935,-2.444,-9.916092,1.086
20240313_233935,-2.444,-9.914697,1.086
20240313_233935,-2.444,-9.913314,1.086
20240313_233935,-2.444,-9.911642,1.086
20240313_233935,-2.444,-9.910383,1.086
20240313_233936,-2.444,-9.908947,1.086
20240313_233936,-2.444,-9.907935,1.086
20240313_233936,-2.444,-9.906874,1.086
20240313_233936,-2.444,-9.906208,1.086
20240313_233936,-2.444,-9.905545,1.086
20240313_233936,-2.444,-9.905317,1.086
20240313_233936,-2.444,-9.905354,1.086
20240313_233936,-2.444,-9.905672,1.086
20240313_233936,-2.444,-9.906137,1.086
20240313_233936,-2.444,-9.907375,1.086
20240313_233936,-2.444,-9.908814,1.086
20240313_233936,-2.444,-9.909936,1.086
20240313_233936,-2.444,-9.911482,1.086
20240313_233936,-2.444,-9.912805,1.086
20240313_233936,-2.444,-9.914524,1.086
20240313_233936,-2.444,-9.916267,1.086
20240313_233936,-2.444,-9.917644,1.086
20240313_233936,-2.444,-9.919296,1.086
20240313_233936,-2.444,-9.920533,1.086
20240313_233937,-2.444,-9.921669,1.086
20240313_233937,-2.444,-9.922681,1.086
20240313_233937,-2.444,-9.923742,1.086
20240313_233937,-2.444,-9.924547,1.086
20240313_233937,-2.444,-9.925071,1.086
20240313_233937,-2.444,-9.925299,1.086
20240313_233937,-2.444,-9.925171,1.086
20240313_233937,-2.444,-9.924734,1.086
20240313_233937,-2.444,-9.924011,1.086
20240313_233937,-2.444,-9.922797,1.086
20240313_233937,-2.444,-9.921256,1.086
20240313_233937,-2.444,-9.919769,1.086
20240313_233937,-2.444,-9.917811,1.086
20240313_233937,-2.444,-9.916439,1.086
20240313_233937,-2.444,-9.914349,1.086
20240313_233937,-2.444,-9.912635,1.086
20240313_233937,-2.444,-9.91132,1.086
20240313_233937,-2.444,-9.910083,1.086
20240313_233938,-2.444,-9.908947,1.086
20240313_233938,-2.444,-9.907935,1.086
20240313_233938,-2.444,-9.906874,1.086
20240313_233938,-2.444,-9.906208,1.086
20240313_233938,-2.444,-9.90572,1.086
20240313_233938,-2.444,-9.905476,1.086
20240313_233938,-2.444,-9.905317,1.086
20240313_233938,-2.444,-9.905327,1.086
20240313_233938,-2.444,-9.905509,1.086
20240313_233938,-2.444,-9.905771,1.086
20240313_233938,-2.444,-9.906282,1.086
20240313_233938,-2.444,-9.906969,1.086
20240313_233938,-2.444,-9.907592,1.086
20240313_233938,-2.444,-9.908814,1.086
20240313_233938,-2.444,-9.909644,1.086
20240313_233938,-2.444,-9.910847,1.086
20240313_233938,-2.444,-9.912136,1.086
20240313_233938,-2.444,-9.913144,1.086
20240313_233938,-2.444,-9.914524,1.086
20240313_233938,-2.444,-9.91557,1.086
20240313_233938,-2.444,-9.916614,1.086
20240313_233938,-2.444,-9.917644,1.086
20240313_233938,-2.444,-9.918647,1.086
20240313_233938,-2.444,-9.919614,1.086
20240313_233938,-2.444,-9.920828,1.086
20240313_233939,-2.444,-9.921935,1.086
20240313_233939,-2.444,-9.922913,1.086
20240313_233939,-2.444,-9.92355,1.086
20240313_233939,-2.444,-9.924096,1.086
20240313_233939,-2.444,-9.924675,1.086
20240313_233939,-2.444,-9.92499,1.086
20240313_233939,-2.444,-9.925243,1.086
20240313_233939,-2.444,-9.925304,1.086
20240313_233939,-2.444,-9.925222,1.086
20240313_233939,-2.444,-9.925032,1.086
20240313_233939,-2.444,-9.924734,1.086
20240313_233939,-2.444,-9.924334,1.086
20240313_233939,-2.444,-9.923834,1.086
20240313_233939,-2.444,-9.923241,1.086
20240313_233939,-2.444,-9.922797,1.086
20240313_233939,-2.444,-9.921802,1.086
20240313_233939,-2.444,-9.920972,1.086
20240313_233939,-2.444,-9.920079,1.086
20240313_233939,-2.444,-9.919134,1.086
20240313_233939,-2.444,-9.918147,1.086
20240313_233939,-2.444,-9.917472,1.086
20240313_233939,-2.444,-9.916439,1.086
20240313_233939,-2.444,-9.915395,1.086
20240313_233939,-2.444,-9.914697,1.086
20240313_233939,-2.444,-9.913657,1.086
20240313_233939,-2.444,-9.912635,1.086
20240313_233939,-2.444,-9.911969,1.086
20240313_233939,-2.444,-9.911002,1.086
20240313_233939,-2.444,-9.910083,1.086
20240313_233939,-2.444,-9.9095,1.086
20240313_233940,-2.444,-9.908681,1.086
20240313_233940,-2.444,-9.907935,1.086
20240313_233940,-2.444,-9.907269,1.086
20240313_233940,-2.444,-9.906874,1.086
20240313_233940,-2.444,-9.906359,1.086
20240313_233940,-2.444,-9.905941,1.086
20240313_233940,-2.444,-9.905626,1.086
20240313_233940,-2.444,-9.905476,1.086
20240313_233940,-2.444,-9.905339,1.086
20240313_233940,-2.444,-9.905312,1.086
20240313_233940,-2.444,-9.905394,1.086
20240313_233940,-2.444,-9.905584,1.086
20240313_233940,-2.444,-9.905771,1.086
20240313_233940,-2.444,-9.906137,1.086
20240313_233940,-2.444,-9.906605,1.086
20240313_233940,-2.444,-9.906969,1.086
20240313_233940,-2.444,-9.907592,1.086
20240313_233940,-2.444,-9.908054,1.086
20240313_233940,-2.444,-9.909083,1.086
20240313_233940,-2.444,-9.909936,1.086
20240313_233940,-2.444,-9.910847,1.086
20240313_233940,-2.444,-9.911807,1.086
20240313_233940,-2.444,-9.912469,1.086
20240313_233940,-2.444,-9.913486,1.086
20240313_233940,-2.444,-9.914524,1.086
20240313_233940,-2.444,-9.915221,1.086
20240313_233940,-2.444,-9.916267,1.086
20240313_233940,-2.444,-9.917302,1.086
20240313_233940,-2.444,-9.918316,1.086
20240313_233940,-2.444,-9.919296,1.086
20240313_233940,-2.444,-9.920233,1.086
20240313_233940,-2.444,-9.921116,1.086
20240313_233941,-2.444,-9.921935,1.086
20240313_233941,-2.444,-9.922681,1.086
20240313_233941,-2.444,-9.923347,1.086
20240313_233941,-2.444,-9.923924,1.086
20240313_233941,-2.444,-9.924408,1.086
20240313_233941,-2.444,-9.924675,1.086
20240313_233941,-2.444,-9.924896,1.086
20240313_233941,-2.444,-9.92514,1.086
20240313_233941,-2.444,-9.925243,1.086
20240313_233941,-2.444,-9.925307,1.086
20240313_233941,-2.444,-9.925289,1.086
20240313_233941,-2.444,-9.925171,1.086
20240313_233941,-2.444,-9.924944,1.086
20240313_233941,-2.444,-9.924612,1.086
20240313_233941,-2.444,-9.924178,1.086
20240313_233941,-2.444,-9.923834,1.086
20240313_233941,-2.444,-9.923241,1.086
20240313_233941,-2.444,-9.922562,1.086
20240313_233941,-2.444,-9.921533,1.086
20240313_233941,-2.444,-9.92068,1.086
20240313_233941,-2.444,-9.919455,1.086
20240313_233941,-2.444,-9.91848,1.086
20240313_233941,-2.444,-9.917472,1.086
20240313_233941,-2.444,-9.916439,1.086
20240313_233941,-2.444,-9.915395,1.086
20240313_233941,-2.444,-9.914349,1.086
20240313_233941,-2.444,-9.913314,1.086
20240313_233941,-2.444,-9.9123,1.086
20240313_233941,-2.444,-9.911002,1.086
20240313_233941,-2.444,-9.910083,1.086
20240313_233941,-2.444,-9.90922,1.086
20240313_233942,-2.444,-9.908424,1.086
20240313_233942,-2.444,-9.907703,1.086
20240313_233942,-2.444,-9.907269,1.086
20240313_233942,-2.444,-9.90652,1.086
20240313_233942,-2.444,-9.906069,1.086
20240313_233942,-2.444,-9.90572,1.086
20240313_233942,-2.444,-9.905476,1.086
20240313_233942,-2.444,-9.905339,1.086
20240313_233942,-2.444,-9.905312,1.086
20240313_233942,-2.444,-9.905394,1.086
20240313_233942,-2.444,-9.905584,1.086
20240313_233942,-2.444,-9.905882,1.086
20240313_233942,-2.444,-9.906282,1.086
20240313_233942,-2.444,-9.906969,1.086
20240313_233942,-2.444,-9.907592,1.086
20240313_233942,-2.444,-9.908299,1.086
20240313_233942,-2.444,-9.909083,1.086
20240313_233942,-2.444,-9.910233,1.086
20240313_233942,-2.444,-9.911161,1.086
20240313_233942,-2.444,-9.912136,1.086
20240313_233942,-2.444,-9.913486,1.086
20240313_233942,-2.444,-9.914524,1.086
20240313_233942,-2.444,-9.91557,1.086
20240313_233942,-2.444,-9.916614,1.086
20240313_233942,-2.444,-9.917644,1.086
20240313_233942,-2.444,-9.918647,1.086
20240313_233942,-2.444,-9.919614,1.086
20240313_233942,-2.444,-9.920533,1.086
20240313_233942,-2.444,-9.921396,1.086
20240313_233943,-2.444,-9.922192,1.086
20240313_233943,-2.444,-9.922913,1.086
20240313_233943,-2.444,-9.923347,1.086
20240313_233943,-2.444,-9.923924,1.086
20240313_233943,-2.444,-9.924547,1.086
20240313_233943,-2.444,-9.924791,1.086
20240313_233943,-2.444,-9.925071,1.086
20240313_233943,-2.444,-9.925243,1.086
20240313_233943,-2.444,-9.925307,1.086
20240313_233943,-2.444,-9.925261,1.086
20240313_233943,-2.444,-9.925107,1.086
20240313_233943,-2.444,-9.924845,1.086
20240313_233943,-2.444,-9.924479,1.086
20240313_233943,-2.444,-9.924011,1.086
20240313_233943,-2.444,-9.923449,1.086
20240313_233943,-2.444,-9.922797,1.086
20240313_233943,-2.444,-9.922064,1.086
20240313_233943,-2.444,-9.920972,1.086
20240313_233943,-2.444,-9.919769,1.086
20240313_233943,-2.444,-9.91881,1.086
20240313_233943,-2.444,-9.917811,1.086
20240313_233943,-2.444,-9.916439,1.086
20240313_233943,-2.444,-9.915395,1.086
20240313_233943,-2.444,-9.914349,1.086
20240313_233943,-2.444,-9.913314,1.086
20240313_233943,-2.444,-9.9123,1.086
20240313_233943,-2.444,-9.91132,1.086
20240313_233943,-2.444,-9.910383,1.086
20240313_233944,-2.444,-9.90922,1.086
20240313_233944,-2.444,-9.908175,1.086
20240313_233944,-2.444,-9.907269,1.086
20240313_233944,-2.444,-9.906692,1.086
20240313_233944,-2.444,-9.906069,1.086
20240313_233944,-2.444,-9.90572,1.086
20240313_233944,-2.444,-9.905417,1.086
20240313_233944,-2.444,-9.905317,1.086
20240313_233944,-2.444,-9.905327,1.086
20240313_233944,-2.444,-9.905445,1.086
20240313_233944,-2.444,-9.905771,1.086
20240313_233944,-2.444,-9.906137,1.086
20240313_233944,-2.444,-9.906605,1.086
20240313_233944,-2.444,-9.907375,1.086
20240313_233944,-2.444,-9.908054,1.086
20240313_233944,-2.444,-9.908814,1.086
20240313_233944,-2.444,-9.909936,1.086
20240313_233944,-2.444,-9.910847,1.086
20240313_233944,-2.444,-9.912136,1.086
20240313_233944,-2.444,-9.913486,1.086
20240313_233944,-2.444,-9.914872,1.086
20240313_233944,-2.444,-9.915919,1.086
20240313_233944,-2.444,-9.916959,1.086
20240313_233944,-2.444,-9.918316,1.086
20240313_233944,-2.444,-9.919296,1.086
20240313_233944,-2.444,-9.920233,1.086
20240313_233944,-2.444,-9.921116,1.086
20240313_233945,-2.444,-9.921935,1.086
20240313_233945,-2.444,-9.922681,1.086
20240313_233945,-2.444,-9.923347,1.086
20240313_233945,-2.444,-9.924096,1.086
20240313_233945,-2.444,-9.924547,1.086
20240313_233945,-2.444,-9.924896,1.086
20240313_233945,-2.444,-9.92514,1.086
20240313_233945,-2.444,-9.925277,1.086
20240313_233945,-2.444,-9.925289,1.086
20240313_233945,-2.444,-9.925107,1.086
20240313_233945,-2.444,-9.924845,1.086
20240313_233945,-2.444,-9.924334,1.086
20240313_233945,-2.444,-9.923647,1.086
20240313_233945,-2.444,-9.923024,1.086
20240313_233945,-2.444,-9.922317,1.086
20240313_233945,-2.444,-9.921256,1.086
20240313_233945,-2.444,-9.920382,1.086
20240313_233945,-2.444,-9.919134,1.086
20240313_233945,-2.444,-9.918147,1.086
20240313_233945,-2.444,-9.91713,1.086
20240313_233945,-2.444,-9.915744,1.086
20240313_233945,-2.444,-9.914697,1.086
20240313_233945,-2.444,-9.913657,1.086
20240313_233945,-2.444,-9.912635,1.086
20240313_233945,-2.444,-9.911642,1.086
20240313_233945,-2.444,-9.910383,1.086
20240313_233945,-2.444,-9.9095,1.086
20240313_233946,-2.444,-9.908681,1.086
20240313_233946,-2.444,-9.907703,1.086
20240313_233946,-2.444,-9.907066,1.086
20240313_233946,-2.444,-9.90652,1.086
20240313_233946,-2.444,-9.906069,1.086
20240313_233946,-2.444,-9.905626,1.086
20240313_233946,-2.444,-9.905417,1.086
20240313_233946,-2.444,-9.905317,1.086
20240313_233946,-2.444,-9.905354,1.086
20240313_233946,-2.444,-9.905509,1.086
20240313_233946,-2.444,-9.905771,1.086
20240313_233946,-2.444,-9.906137,1.086
20240313_233946,-2.444,-9.906782,1.086
20240313_233946,-2.444,-9.907167,1.086
20240313_233946,-2.444,-9.907819,1.086
20240313_233946,-2.444,-9.908814,1.086
20240313_233946,-2.444,-9.909644,1.086
20240313_233946,-2.444,-9.910847,1.086
20240313_233946,-2.444,-9.911806,1.086
20240313_233946,-2.444,-9.912805,1.086
20240313_233946,-2.444,-9.913831,1.086
20240313_233946,-2.444,-9.914872,1.086
20240313_233946,-2.444,-9.916267,1.086
20240313_233946,-2.444,-9.917302,1.086
20240313_233946,-2.444,-9.918316,1.086
20240313_233946,-2.444,-9.919296,1.086
20240313_233946,-2.444,-9.919926,1.086
20240313_233946,-2.444,-9.920828,1.086
20240313_233947,-2.444,-9.921669,1.086
20240313_233947,-2.444,-9.922441,1.086
20240313_233947,-2.444,-9.923135,1.086
20240313_233947,-2.444,-9.923742,1.086
20240313_233947,-2.444,-9.924257,1.086
20240313_233947,-2.444,-9.924547,1.086
20240313_233947,-2.444,-9.924896,1.086
20240313_233947,-2.444,-9.92514,1.086
20240313_233947,-2.444,-9.925277,1.086
20240313_233947,-2.444,-9.925304,1.086
20240313_233947,-2.444,-9.925222,1.086
20240313_233947,-2.444,-9.925107,1.086
20240313_233947,-2.444,-9.924845,1.086
20240313_233947,-2.444,-9.924479,1.086
20240313_233947,-2.444,-9.923834,1.086
20240313_233947,-2.444,-9.923241,1.086
20240313_233947,-2.444,-9.922562,1.086
20240313_233947,-2.444,-9.921802,1.086
20240313_233947,-2.444,-9.920972,1.086
20240313_233947,-2.444,-9.920079,1.086
20240313_233947,-2.444,-9.918809,1.086
20240313_233947,-2.444,-9.917811,1.086
20240313_233947,-2.444,-9.916785,1.086
20240313_233947,-2.444,-9.915744,1.086
20240313_233947,-2.444,-9.914697,1.086
20240313_233947,-2.444,-9.913657,1.086
20240313_233947,-2.444,-9.912635,1.086
20240313_233947,-2.444,-9.911642,1.086
20240313_233947,-2.444,-9.91069,1.086
20240313_233947,-2.444,-9.909788,1.086
20240313_233948,-2.444,-9.908947,1.086
20240313_233948,-2.444,-9.908175,1.086
20240313_233948,-2.444,-9.907269,1.086
