Time Stamp,Round2-NonSol-Z428_x,Round2-NonSol-Z428_y,Round2-NonSol-Z428_z
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234002,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234003,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234004,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234005,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234006,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234007,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234008,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234009,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234010,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234011,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234012,0.1059999,-10.46395,0.656
20240313_234013,0.1059999,-10.46395,0.656
20240313_234013,0.1059999,-10.46395,0.656
20240313_234013,0.1059999,-10.46395,0.656
20240313_234013,0.1059999,-10.46395,0.656
