Time Stamp,Round2-Sol-E144_x,Round2-Sol-E144_y,Round2-Sol-E144_z
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234002,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234003,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234004,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234005,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234006,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234007,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234008,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234009,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234010,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234011,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234012,-1.424,-9.504866,0.656
20240313_234013,-1.424,-9.504866,0.656
20240313_234013,-1.424,-9.504866,0.656
20240313_234013,-1.424,-9.504866,0.656
20240313_234013,-1.424,-9.504866,0.656
