Time StampE(Clone)_x,E(Clone)_y,E(Clone)_z
20240313_230802,-0.404,-10.31208,-1.064
20240313_230802,-0.404,-10.30544,-1.064
20240313_230802,-0.404,-10.30328,-1.064
20240313_230802,-0.404,-10.30271,-1.064
20240313_230802,-0.404,-10.30231,-1.064
20240313_230802,-0.404,-10.30209,-1.064
20240313_230802,-0.404,-10.30213,-1.064
20240313_230802,-0.404,-10.30229,-1.064
20240313_230802,-0.404,-10.30279,-1.064
20240313_230802,-0.404,-10.30323,-1.064
20240313_230802,-0.404,-10.30396,-1.064
20240313_230802,-0.404,-10.30462,-1.064
20240313_230802,-0.404,-10.30535,-1.064
20240313_230802,-0.404,-10.30616,-1.064
20240313_230802,-0.404,-10.30704,-1.064
20240313_230802,-0.404,-10.30829,-1.064
20240313_230802,-0.404,-10.30927,-1.064
20240313_230802,-0.404,-10.31029,-1.064
20240313_230802,-0.404,-10.31133,-1.064
20240313_230802,-0.404,-10.31238,-1.064
20240313_230802,-0.404,-10.31377,-1.064
20240313_230803,-0.404,-10.31479,-1.064
20240313_230803,-0.404,-10.31578,-1.064
20240313_230803,-0.404,-10.31673,-1.064
20240313_230803,-0.404,-10.31763,-1.064
20240313_230803,-0.404,-10.31873,-1.064
20240313_230803,-0.404,-10.31993,-1.064
20240313_230803,-0.404,-10.32072,-1.064
20240313_230803,-0.404,-10.32133,-1.064
20240313_230803,-0.404,-10.32185,-1.064
20240313_230803,-0.404,-10.32206,-1.064
20240313_230803,-0.404,-10.32206,-1.064
20240313_230803,-0.404,-10.32194,-1.064
20240313_230803,-0.404,-10.32161,-1.064
20240313_230803,-0.404,-10.32124,-1.064
20240313_230803,-0.404,-10.32059,-1.064
20240313_230803,-0.404,-10.32,-1.064
20240313_230803,-0.404,-10.31932,-1.064
20240313_230803,-0.404,-10.31828,-1.064
20240313_230803,-0.404,-10.31743,-1.064
20240313_230803,-0.404,-10.3162,-1.064
20240313_230803,-0.404,-10.31489,-1.064
20240313_230803,-0.404,-10.31353,-1.064
20240313_230804,-0.404,-10.3111,-1.064
20240313_230805,-0.404,-10.30297,-1.064
20240313_230805,-0.404,-10.30256,-1.064
20240313_230805,-0.404,-10.30485,-1.064
20240313_230805,-0.404,-10.30734,-1.064
20240313_230805,-0.404,-10.30927,-1.064
20240313_230805,-0.404,-10.31203,-1.064
20240313_230805,-0.404,-10.31445,-1.064
20240313_230805,-0.404,-10.31642,-1.064
20240313_230805,-0.404,-10.3182,-1.064
20240313_230805,-0.404,-10.31971,-1.064
20240313_230805,-0.404,-10.32014,-1.064
20240313_230805,-0.404,-10.32072,-1.064
20240313_230805,-0.404,-10.3212,-1.064
20240313_230805,-0.404,-10.32158,-1.064
20240313_230806,-0.404,-10.32198,-1.064
20240313_230806,-0.404,-10.32206,-1.064
20240313_230806,-0.404,-10.3218,-1.064
20240313_230806,-0.404,-10.32124,-1.064
20240313_230806,-0.404,-10.32077,-1.064
20240313_230806,-0.404,-10.32041,-1.064
20240313_230806,-0.404,-10.31978,-1.064
20240313_230806,-0.404,-10.31932,-1.064
20240313_230806,-0.404,-10.31801,-1.064
20240313_230806,-0.404,-10.31713,-1.064
20240313_230806,-0.404,-10.31652,-1.064
20240313_230806,-0.404,-10.31556,-1.064
20240313_230806,-0.404,-10.31456,-1.064
20240313_230806,-0.404,-10.31284,-1.064
20240313_230806,-0.404,-10.31179,-1.064
20240313_230806,-0.404,-10.3111,-1.064
20240313_230806,-0.404,-10.31006,-1.064
20240313_230806,-0.404,-10.30938,-1.064
20240313_230806,-0.404,-10.30775,-1.064
20240313_230806,-0.404,-10.3057,-1.064
20240313_230806,-0.404,-10.30518,-1.064
20240313_230806,-0.404,-10.30403,-1.064
20240313_230806,-0.404,-10.30345,-1.064
20240313_230806,-0.404,-10.30312,-1.064
20240313_230806,-0.404,-10.30283,-1.064
20240313_230806,-0.404,-10.30249,-1.064
20240313_230806,-0.404,-10.30219,-1.064
20240313_230806,-0.404,-10.30211,-1.064
20240313_230807,-0.404,-10.30208,-1.064
20240313_230807,-0.404,-10.30213,-1.064
20240313_230807,-0.404,-10.30229,-1.064
20240313_230807,-0.404,-10.30267,-1.064
20240313_230807,-0.404,-10.30323,-1.064
20240313_230807,-0.404,-10.30357,-1.064
20240313_230807,-0.404,-10.30396,-1.064
20240313_230807,-0.404,-10.30439,-1.064
20240313_230807,-0.404,-10.30535,-1.064
20240313_230807,-0.404,-10.30616,-1.064
20240313_230807,-0.404,-10.30674,-1.064
20240313_230807,-0.404,-10.30734,-1.064
20240313_230807,-0.404,-10.30894,-1.064
20240313_230807,-0.404,-10.31029,-1.064
20240313_230807,-0.404,-10.31168,-1.064
20240313_230807,-0.404,-10.31342,-1.064
20240313_230807,-0.404,-10.31411,-1.064
20240313_230807,-0.404,-10.31545,-1.064
20240313_230807,-0.404,-10.31673,-1.064
20240313_230807,-0.404,-10.31734,-1.064
20240313_230807,-0.404,-10.3182,-1.064
20240313_230807,-0.404,-10.31873,-1.064
20240313_230807,-0.404,-10.31948,-1.064
20240313_230807,-0.404,-10.32014,-1.064
20240313_230807,-0.404,-10.32053,-1.064
20240313_230807,-0.404,-10.32105,-1.064
20240313_230807,-0.404,-10.32133,-1.064
20240313_230807,-0.404,-10.32158,-1.064
20240313_230807,-0.404,-10.32192,-1.064
20240313_230808,-0.404,-10.32206,-1.064
20240313_230808,-0.404,-10.32203,-1.064
20240313_230808,-0.404,-10.3218,-1.064
20240313_230808,-0.404,-10.32124,-1.064
20240313_230808,-0.404,-10.32059,-1.064
20240313_230808,-0.404,-10.32021,-1.064
20240313_230808,-0.404,-10.31955,-1.064
20240313_230808,-0.404,-10.31828,-1.064
20240313_230808,-0.404,-10.31772,-1.064
20240313_230808,-0.404,-10.31713,-1.064
20240313_230808,-0.404,-10.31556,-1.064
20240313_230808,-0.404,-10.31422,-1.064
20240313_230808,-0.404,-10.31249,-1.064
20240313_230808,-0.404,-10.3111,-1.064
20240313_230808,-0.404,-10.31006,-1.064
20240313_230808,-0.404,-10.30872,-1.064
20240313_230808,-0.404,-10.30807,-1.064
20240313_230808,-0.404,-10.30744,-1.064
20240313_230808,-0.404,-10.30654,-1.064
20240313_230808,-0.404,-10.30597,-1.064
20240313_230808,-0.404,-10.30544,-1.064
20240313_230808,-0.404,-10.30446,-1.064
20240313_230808,-0.404,-10.30383,-1.064
20240313_230808,-0.404,-10.30345,-1.064
20240313_230808,-0.404,-10.30312,-1.064
20240313_230808,-0.404,-10.30283,-1.064
20240313_230808,-0.404,-10.30259,-1.064
20240313_230808,-0.404,-10.30225,-1.064
20240313_230808,-0.404,-10.30215,-1.064
20240313_230809,-0.404,-10.30208,-1.064
20240313_230809,-0.404,-10.3021,-1.064
20240313_230809,-0.404,-10.30223,-1.064
20240313_230809,-0.404,-10.30256,-1.064
20240313_230809,-0.404,-10.30293,-1.064
20240313_230809,-0.404,-10.30323,-1.064
20240313_230809,-0.404,-10.30357,-1.064
20240313_230809,-0.404,-10.30396,-1.064
20240313_230809,-0.404,-10.30439,-1.064
20240313_230809,-0.404,-10.30535,-1.064
20240313_230809,-0.404,-10.30588,-1.064
20240313_230809,-0.404,-10.30674,-1.064
20240313_230809,-0.404,-10.30734,-1.064
20240313_230809,-0.404,-10.30797,-1.064
20240313_230809,-0.404,-10.30894,-1.064
20240313_230809,-0.404,-10.30995,-1.064
20240313_230809,-0.404,-10.31098,-1.064
20240313_230809,-0.404,-10.31168,-1.064
20240313_230809,-0.404,-10.31238,-1.064
20240313_230809,-0.404,-10.31342,-1.064
20240313_230809,-0.404,-10.31445,-1.064
20240313_230809,-0.404,-10.31545,-1.064
20240313_230809,-0.404,-10.31642,-1.064
20240313_230809,-0.404,-10.31704,-1.064
20240313_230809,-0.404,-10.31763,-1.064
20240313_230809,-0.404,-10.3182,-1.064
20240313_230809,-0.404,-10.31899,-1.064
20240313_230809,-0.404,-10.31993,-1.064
20240313_230809,-0.404,-10.32034,-1.064
20240313_230809,-0.404,-10.32072,-1.064
20240313_230809,-0.404,-10.3212,-1.064
20240313_230809,-0.404,-10.32146,-1.064
20240313_230809,-0.404,-10.32168,-1.064
20240313_230809,-0.404,-10.32198,-1.064
20240313_230809,-0.404,-10.32208,-1.064
20240313_230810,-0.404,-10.32206,-1.064
20240313_230810,-0.404,-10.32199,-1.064
20240313_230810,-0.404,-10.3218,-1.064
20240313_230810,-0.404,-10.32138,-1.064
20240313_230810,-0.404,-10.32094,-1.064
20240313_230810,-0.404,-10.32041,-1.064
20240313_230810,-0.404,-10.31955,-1.064
20240313_230810,-0.404,-10.31855,-1.064
20240313_230810,-0.404,-10.31801,-1.064
20240313_230810,-0.404,-10.31713,-1.064
20240313_230810,-0.404,-10.31588,-1.064
20240313_230810,-0.404,-10.31456,-1.064
20240313_230810,-0.404,-10.31284,-1.064
20240313_230810,-0.404,-10.31144,-1.064
20240313_230810,-0.404,-10.3104,-1.064
20240313_230810,-0.404,-10.30972,-1.064
20240313_230810,-0.404,-10.30905,-1.064
20240313_230810,-0.404,-10.30744,-1.064
20240313_230810,-0.404,-10.30683,-1.064
20240313_230810,-0.404,-10.30597,-1.064
20240313_230810,-0.404,-10.30544,-1.064
20240313_230810,-0.404,-10.30469,-1.064
20240313_230810,-0.404,-10.30383,-1.064
20240313_230810,-0.404,-10.30345,-1.064
20240313_230810,-0.404,-10.30312,-1.064
20240313_230810,-0.404,-10.30271,-1.064
20240313_230810,-0.404,-10.30249,-1.064
20240313_230810,-0.404,-10.30219,-1.064
20240313_230810,-0.404,-10.30209,-1.064
20240313_230811,-0.404,-10.30209,-1.064
20240313_230811,-0.404,-10.30217,-1.064
20240313_230811,-0.404,-10.30237,-1.064
20240313_230811,-0.404,-10.30279,-1.064
20240313_230811,-0.404,-10.30323,-1.064
20240313_230811,-0.404,-10.30357,-1.064
20240313_230811,-0.404,-10.30396,-1.064
20240313_230811,-0.404,-10.30439,-1.064
20240313_230811,-0.404,-10.30535,-1.064
20240313_230811,-0.404,-10.30616,-1.064
20240313_230811,-0.404,-10.30674,-1.064
20240313_230811,-0.404,-10.30765,-1.064
20240313_230811,-0.404,-10.30829,-1.064
20240313_230811,-0.404,-10.30961,-1.064
20240313_230811,-0.404,-10.31029,-1.064
20240313_230811,-0.404,-10.31133,-1.064
20240313_230811,-0.404,-10.31203,-1.064
20240313_230811,-0.404,-10.31307,-1.064
20240313_230811,-0.404,-10.31445,-1.064
20240313_230811,-0.404,-10.31512,-1.064
20240313_230811,-0.404,-10.31578,-1.064
20240313_230811,-0.404,-10.31673,-1.064
20240313_230811,-0.404,-10.31734,-1.064
20240313_230811,-0.404,-10.31792,-1.064
20240313_230811,-0.404,-10.31899,-1.064
20240313_230811,-0.404,-10.31971,-1.064
20240313_230811,-0.404,-10.32014,-1.064
20240313_230811,-0.404,-10.32053,-1.064
20240313_230811,-0.404,-10.32105,-1.064
20240313_230811,-0.404,-10.32133,-1.064
20240313_230811,-0.404,-10.32177,-1.064
20240313_230811,-0.404,-10.32198,-1.064
20240313_230811,-0.404,-10.32206,-1.064
20240313_230812,-0.404,-10.32208,-1.064
20240313_230812,-0.404,-10.32203,-1.064
20240313_230812,-0.404,-10.3218,-1.064
20240313_230812,-0.404,-10.3215,-1.064
20240313_230812,-0.404,-10.3211,-1.064
20240313_230812,-0.404,-10.32077,-1.064
20240313_230812,-0.404,-10.32041,-1.064
20240313_230812,-0.404,-10.31955,-1.064
20240313_230812,-0.404,-10.31882,-1.064
20240313_230812,-0.404,-10.31828,-1.064
20240313_230812,-0.404,-10.31772,-1.064
20240313_230812,-0.404,-10.31683,-1.064
20240313_230812,-0.404,-10.31556,-1.064
20240313_230812,-0.404,-10.31489,-1.064
20240313_230812,-0.404,-10.31388,-1.064
20240313_230812,-0.404,-10.31319,-1.064
20240313_230812,-0.404,-10.31214,-1.064
20240313_230812,-0.404,-10.31075,-1.064
20240313_230812,-0.404,-10.31006,-1.064
20240313_230812,-0.404,-10.30905,-1.064
20240313_230812,-0.404,-10.30839,-1.064
20240313_230812,-0.404,-10.30775,-1.064
20240313_230812,-0.404,-10.30654,-1.064
20240313_230812,-0.404,-10.3057,-1.064
20240313_230812,-0.404,-10.30518,-1.064
20240313_230812,-0.404,-10.30469,-1.064
20240313_230812,-0.404,-10.30403,-1.064
20240313_230812,-0.404,-10.30363,-1.064
20240313_230812,-0.404,-10.30297,-1.064
20240313_230812,-0.404,-10.30271,-1.064
20240313_230812,-0.404,-10.30239,-1.064
20240313_230812,-0.404,-10.30225,-1.064
20240313_230812,-0.404,-10.30215,-1.064
20240313_230813,-0.404,-10.30209,-1.064
20240313_230813,-0.404,-10.30213,-1.064
20240313_230813,-0.404,-10.30223,-1.064
20240313_230813,-0.404,-10.30246,-1.064
20240313_230813,-0.404,-10.30267,-1.064
20240313_230813,-0.404,-10.30307,-1.064
20240313_230813,-0.404,-10.30376,-1.064
20240313_230813,-0.404,-10.30439,-1.064
20240313_230813,-0.404,-10.30485,-1.064
20240313_230813,-0.404,-10.30535,-1.064
20240313_230813,-0.404,-10.30588,-1.064
20240313_230813,-0.404,-10.30674,-1.064
20240313_230813,-0.404,-10.30797,-1.064
20240313_230813,-0.404,-10.30861,-1.064
20240313_230813,-0.404,-10.30961,-1.064
20240313_230813,-0.404,-10.31029,-1.064
20240313_230813,-0.404,-10.31098,-1.064
20240313_230813,-0.404,-10.31168,-1.064
20240313_230813,-0.404,-10.31307,-1.064
20240313_230813,-0.404,-10.31411,-1.064
20240313_230813,-0.404,-10.31479,-1.064
20240313_230813,-0.404,-10.31545,-1.064
20240313_230813,-0.404,-10.31642,-1.064
20240313_230813,-0.404,-10.31704,-1.064
20240313_230813,-0.404,-10.3182,-1.064
20240313_230813,-0.404,-10.31873,-1.064
20240313_230813,-0.404,-10.31948,-1.064
20240313_230813,-0.404,-10.31993,-1.064
20240313_230813,-0.404,-10.32034,-1.064
20240313_230813,-0.404,-10.3212,-1.064
20240313_230813,-0.404,-10.32146,-1.064
20240313_230813,-0.404,-10.32177,-1.064
20240313_230813,-0.404,-10.32198,-1.064
20240313_230814,-0.404,-10.32206,-1.064
20240313_230814,-0.404,-10.32203,-1.064
20240313_230814,-0.404,-10.32194,-1.064
20240313_230814,-0.404,-10.3218,-1.064
20240313_230814,-0.404,-10.3215,-1.064
20240313_230814,-0.404,-10.3211,-1.064
20240313_230814,-0.404,-10.32021,-1.064
20240313_230814,-0.404,-10.31978,-1.064
20240313_230814,-0.404,-10.31932,-1.064
20240313_230814,-0.404,-10.31855,-1.064
20240313_230814,-0.404,-10.31801,-1.064
20240313_230814,-0.404,-10.31683,-1.064
20240313_230814,-0.404,-10.3162,-1.064
20240313_230814,-0.404,-10.31523,-1.064
20240313_230814,-0.404,-10.31456,-1.064
20240313_230814,-0.404,-10.31353,-1.064
20240313_230814,-0.404,-10.31214,-1.064
20240313_230814,-0.404,-10.3111,-1.064
20240313_230814,-0.404,-10.3104,-1.064
20240313_230814,-0.404,-10.30972,-1.064
20240313_230814,-0.404,-10.30872,-1.064
20240313_230814,-0.404,-10.30744,-1.064
20240313_230814,-0.404,-10.30683,-1.064
20240313_230814,-0.404,-10.30597,-1.064
20240313_230814,-0.404,-10.30544,-1.064
20240313_230814,-0.404,-10.30493,-1.064
20240313_230814,-0.404,-10.30383,-1.064
20240313_230814,-0.404,-10.30345,-1.064
20240313_230814,-0.404,-10.30312,-1.064
20240313_230814,-0.404,-10.30271,-1.064
20240313_230814,-0.404,-10.30249,-1.064
20240313_230814,-0.404,-10.30231,-1.064
20240313_230814,-0.404,-10.30211,-1.064
20240313_230814,-0.404,-10.30208,-1.064
20240313_230815,-0.404,-10.3021,-1.064
20240313_230815,-0.404,-10.30217,-1.064
20240313_230815,-0.404,-10.30229,-1.064
20240313_230815,-0.404,-10.30246,-1.064
20240313_230815,-0.404,-10.30307,-1.064
20240313_230815,-0.404,-10.30357,-1.064
20240313_230815,-0.404,-10.30417,-1.064
20240313_230815,-0.404,-10.30462,-1.064
20240313_230815,-0.404,-10.30535,-1.064
20240313_230815,-0.404,-10.30645,-1.064
20240313_230815,-0.404,-10.30734,-1.064
20240313_230815,-0.404,-10.30797,-1.064
20240313_230815,-0.404,-10.30861,-1.064
20240313_230815,-0.404,-10.30961,-1.064
20240313_230815,-0.404,-10.31098,-1.064
20240313_230815,-0.404,-10.31168,-1.064
20240313_230815,-0.404,-10.31273,-1.064
20240313_230815,-0.404,-10.31342,-1.064
20240313_230815,-0.404,-10.31445,-1.064
20240313_230815,-0.404,-10.31578,-1.064
20240313_230815,-0.404,-10.31642,-1.064
20240313_230815,-0.404,-10.31734,-1.064
20240313_230815,-0.404,-10.31792,-1.064
20240313_230815,-0.404,-10.31847,-1.064
20240313_230815,-0.404,-10.31924,-1.064
20240313_230815,-0.404,-10.32014,-1.064
20240313_230815,-0.404,-10.32053,-1.064
20240313_230815,-0.404,-10.32089,-1.064
20240313_230815,-0.404,-10.32133,-1.064
20240313_230815,-0.404,-10.32158,-1.064
20240313_230815,-0.404,-10.32192,-1.064
20240313_230815,-0.404,-10.32206,-1.064
20240313_230815,-0.404,-10.32208,-1.064
20240313_230816,-0.404,-10.32206,-1.064
20240313_230816,-0.404,-10.32199,-1.064
20240313_230816,-0.404,-10.3218,-1.064
20240313_230816,-0.404,-10.32138,-1.064
20240313_230816,-0.404,-10.32094,-1.064
20240313_230816,-0.404,-10.32041,-1.064
20240313_230816,-0.404,-10.31978,-1.064
20240313_230816,-0.404,-10.31932,-1.064
20240313_230816,-0.404,-10.31828,-1.064
20240313_230816,-0.404,-10.31743,-1.064
20240313_230816,-0.404,-10.31683,-1.064
20240313_230816,-0.404,-10.3162,-1.064
20240313_230816,-0.404,-10.31523,-1.064
20240313_230816,-0.404,-10.31388,-1.064
20240313_230816,-0.404,-10.31319,-1.064
20240313_230816,-0.404,-10.31249,-1.064
20240313_230816,-0.404,-10.31144,-1.064
20240313_230816,-0.404,-10.31075,-1.064
20240313_230816,-0.404,-10.30938,-1.064
20240313_230816,-0.404,-10.30872,-1.064
20240313_230816,-0.404,-10.30775,-1.064
20240313_230816,-0.404,-10.30713,-1.064
20240313_230816,-0.404,-10.30625,-1.064
20240313_230816,-0.404,-10.3057,-1.064
20240313_230816,-0.404,-10.30469,-1.064
20240313_230816,-0.404,-10.30403,-1.064
20240313_230816,-0.404,-10.30363,-1.064
20240313_230816,-0.404,-10.30328,-1.064
20240313_230816,-0.404,-10.30283,-1.064
20240313_230816,-0.404,-10.30249,-1.064
20240313_230816,-0.404,-10.30225,-1.064
20240313_230816,-0.404,-10.30215,-1.064
20240313_230816,-0.404,-10.30209,-1.064
20240313_230817,-0.404,-10.30209,-1.064
20240313_230817,-0.404,-10.30213,-1.064
20240313_230817,-0.404,-10.30237,-1.064
20240313_230817,-0.404,-10.30256,-1.064
20240313_230817,-0.404,-10.30293,-1.064
20240313_230817,-0.404,-10.30323,-1.064
20240313_230817,-0.404,-10.30357,-1.064
20240313_230817,-0.404,-10.30417,-1.064
20240313_230817,-0.404,-10.3051,-1.064
20240313_230817,-0.404,-10.30588,-1.064
20240313_230817,-0.404,-10.30645,-1.064
20240313_230817,-0.404,-10.30734,-1.064
20240313_230817,-0.404,-10.30797,-1.064
20240313_230817,-0.404,-10.30961,-1.064
20240313_230817,-0.404,-10.31064,-1.064
20240313_230817,-0.404,-10.31133,-1.064
20240313_230817,-0.404,-10.31238,-1.064
