Position_HeadSet_x,Position_HeadSet_y,Position_HeadSet_z,Position_Right_x,Position_Right_y,Position_Right_z,Position_Left_x,Position_Left_y,Position_Left_z
-1.217411,-11.01,0.007724524,-0.9674108,-10.01,0.007724524,-1.467411,-10.01,0.007724524
-4.027267,-10.19048,-0.4195347,-0.9674108,-10.01,0.007724524,-1.467411,-10.01,0.007724524
-4.027321,-10.18993,-0.4202502,-1.217411,-11.01,0.007724524,-4.138036,-10.24415,-0.3379613
-4.027512,-10.18981,-0.4204481,-1.217411,-11.01,0.007724524,-4.138378,-10.2443,-0.3378397
-4.02737,-10.18983,-0.4205616,-1.217411,-11.01,0.007724524,-4.138109,-10.24411,-0.3378943
-4.027293,-10.18978,-0.4206436,-1.217411,-11.01,0.007724524,-4.138066,-10.244,-0.3380653
-4.027327,-10.19008,-0.4203236,-1.217411,-11.01,0.007724524,-4.138565,-10.24411,-0.3385278
-4.027281,-10.19012,-0.4201972,-1.217411,-11.01,0.007724524,-4.138167,-10.24376,-0.3385664
-4.027282,-10.19005,-0.4203651,-1.217411,-11.01,0.007724524,-4.138132,-10.24372,-0.3388366
-4.027244,-10.19008,-0.4202919,-1.217411,-11.01,0.007724524,-4.138042,-10.2437,-0.3387343
-4.027268,-10.19017,-0.4201071,-1.217411,-11.01,0.007724524,-4.138115,-10.2436,-0.3387009
-4.027364,-10.19049,-0.419482,-1.217411,-11.01,0.007724524,-4.138176,-10.24327,-0.3391091
-4.027326,-10.19039,-0.4195821,-1.217411,-11.01,0.007724524,-4.138021,-10.24317,-0.3393155
-4.027415,-10.19035,-0.4195561,-1.217411,-11.01,0.007724524,-4.138122,-10.24338,-0.3388451
-4.02739,-10.19046,-0.4195106,-1.217411,-11.01,0.007724524,-4.138105,-10.24305,-0.3395931
-4.027347,-10.19057,-0.4193652,-1.217411,-11.01,0.007724524,-4.138005,-10.24305,-0.339723
-4.027392,-10.19056,-0.4192739,-1.217411,-11.01,0.007724524,-4.138097,-10.24313,-0.3394827
-4.027373,-10.1906,-0.4192505,-1.217411,-11.01,0.007724524,-4.138075,-10.24353,-0.338853
-4.027325,-10.19066,-0.4191976,-1.217411,-11.01,0.007724524,-4.138063,-10.24357,-0.3387438
-4.027269,-10.19066,-0.4192779,-1.217411,-11.01,0.007724524,-4.137982,-10.24337,-0.3393513
-4.027273,-10.19054,-0.4195063,-1.217411,-11.01,0.007724524,-4.137943,-10.24355,-0.3393079
-4.027296,-10.19073,-0.4192569,-1.217411,-11.01,0.007724524,-4.138114,-10.24389,-0.338709
-4.027324,-10.19056,-0.4196191,-1.217411,-11.01,0.007724524,-4.138099,-10.24356,-0.3392564
-4.027333,-10.19064,-0.4194129,-1.217411,-11.01,0.007724524,-4.138105,-10.24357,-0.339151
-4.027312,-10.19069,-0.4193399,-1.217411,-11.01,0.007724524,-4.138062,-10.24358,-0.3391696
-4.027353,-10.19087,-0.418982,-1.217411,-11.01,0.007724524,-4.138078,-10.24357,-0.339038
-4.027261,-10.19068,-0.4191363,-1.217411,-11.01,0.007724524,-4.137955,-10.24359,-0.3388828
-4.027245,-10.19068,-0.4193809,-1.217411,-11.01,0.007724524,-4.137964,-10.24378,-0.3390177
-4.027364,-10.19072,-0.4193251,-1.217411,-11.01,0.007724524,-4.138143,-10.24382,-0.3389145
-4.027364,-10.19064,-0.4192488,-1.217411,-11.01,0.007724524,-4.138082,-10.24368,-0.3386732
-4.027449,-10.19061,-0.4191427,-1.217411,-11.01,0.007724524,-4.138233,-10.24369,-0.3385898
-4.027429,-10.19052,-0.4192078,-1.217411,-11.01,0.007724524,-4.138171,-10.24374,-0.3384384
-4.027429,-10.19053,-0.4191692,-1.217411,-11.01,0.007724524,-4.138096,-10.24392,-0.3384305
-4.027407,-10.1905,-0.419347,-1.217411,-11.01,0.007724524,-4.138011,-10.24398,-0.3385288
-4.027375,-10.19047,-0.419394,-1.217411,-11.01,0.007724524,-4.138028,-10.24399,-0.3384286
-4.027365,-10.19048,-0.4193439,-1.217411,-11.01,0.007724524,-4.138107,-10.24439,-0.3376933
-4.027378,-10.19047,-0.4193165,-1.217411,-11.01,0.007724524,-4.138077,-10.24396,-0.3381504
-4.027363,-10.19053,-0.4193592,-1.217411,-11.01,0.007724524,-4.138092,-10.24406,-0.3381013
-4.027396,-10.19049,-0.4193587,-1.217411,-11.01,0.007724524,-4.138194,-10.24398,-0.3380305
-4.027291,-10.19041,-0.4195595,-1.217411,-11.01,0.007724524,-4.138249,-10.24402,-0.3379453
-4.027273,-10.1904,-0.4195075,-1.217411,-11.01,0.007724524,-4.138068,-10.2441,-0.3380002
-4.027298,-10.19038,-0.41942,-1.217411,-11.01,0.007724524,-4.138094,-10.244,-0.3380996
-4.027227,-10.19033,-0.4196413,-1.217411,-11.01,0.007724524,-4.137949,-10.24445,-0.337571
-4.027218,-10.1903,-0.4196281,-1.217411,-11.01,0.007724524,-4.137956,-10.24414,-0.3382179
-4.027211,-10.1903,-0.4196379,-1.217411,-11.01,0.007724524,-4.137972,-10.24412,-0.3380936
-4.027279,-10.19025,-0.4196832,-1.217411,-11.01,0.007724524,-4.1381,-10.24404,-0.3380834
-4.027342,-10.19023,-0.4196658,-1.217411,-11.01,0.007724524,-4.138194,-10.24443,-0.3373896
-4.027338,-10.1902,-0.4196522,-1.217411,-11.01,0.007724524,-4.138207,-10.24401,-0.3379976
-4.027267,-10.19018,-0.4198172,-1.217411,-11.01,0.007724524,-4.13803,-10.24409,-0.3380302
-4.027267,-10.19017,-0.4199436,-1.217411,-11.01,0.007724524,-4.137953,-10.24408,-0.3381215
-4.027428,-10.19023,-0.4199822,-1.217411,-11.01,0.007724524,-4.138204,-10.24406,-0.3381895
-4.027393,-10.19018,-0.4200232,-1.217411,-11.01,0.007724524,-4.138191,-10.24452,-0.3375055
-4.027406,-10.19017,-0.4200702,-1.217411,-11.01,0.007724524,-4.138126,-10.24403,-0.3380295
-4.0274,-10.19015,-0.420166,-1.217411,-11.01,0.007724524,-4.138125,-10.24412,-0.3380576
-4.027324,-10.19019,-0.4200759,-1.217411,-11.01,0.007724524,-4.138045,-10.2441,-0.3379866
-4.027323,-10.19012,-0.4201238,-1.217411,-11.01,0.007724524,-4.138067,-10.24401,-0.3380085
-4.027407,-10.19017,-0.4200759,-1.217411,-11.01,0.007724524,-4.138185,-10.24401,-0.3380483
-4.027377,-10.19023,-0.4200685,-1.217411,-11.01,0.007724524,-4.138104,-10.24405,-0.3381003
-4.027399,-10.19025,-0.4201038,-1.217411,-11.01,0.007724524,-4.138123,-10.24409,-0.33805
-4.02733,-10.19027,-0.4200878,-1.217411,-11.01,0.007724524,-4.138031,-10.24414,-0.3380734
-4.027332,-10.19031,-0.4201393,-1.217411,-11.01,0.007724524,-4.138127,-10.2442,-0.3381535
-4.027413,-10.19036,-0.4201057,-1.217411,-11.01,0.007724524,-4.138234,-10.2442,-0.3382255
-4.027309,-10.19052,-0.4200127,-1.217411,-11.01,0.007724524,-4.138279,-10.24423,-0.3381916
-4.027267,-10.19025,-0.4201481,-1.217411,-11.01,0.007724524,-4.138019,-10.24415,-0.3380266
-4.02739,-10.19025,-0.4201672,-1.217411,-11.01,0.007724524,-4.138264,-10.24413,-0.3381258
-4.027388,-10.19025,-0.419975,-1.217411,-11.01,0.007724524,-4.13824,-10.24397,-0.3380009
-4.027355,-10.19049,-0.4196754,-1.217411,-11.01,0.007724524,-4.138187,-10.24437,-0.3373867
-4.027356,-10.19028,-0.4198358,-1.217411,-11.01,0.007724524,-4.138166,-10.24394,-0.3379384
-4.027353,-10.19027,-0.4198616,-1.217411,-11.01,0.007724524,-4.138136,-10.24398,-0.3380295
-4.027333,-10.19039,-0.4196939,-1.217411,-11.01,0.007724524,-4.138081,-10.24404,-0.3383142
-4.027288,-10.19041,-0.4197848,-1.217411,-11.01,0.007724524,-4.138099,-10.24405,-0.3383323
-4.027286,-10.19021,-0.4200013,-1.217411,-11.01,0.007724524,-4.138042,-10.24407,-0.338281
-4.027328,-10.19029,-0.4200089,-1.217411,-11.01,0.007724524,-4.138106,-10.24416,-0.3383385
-4.027308,-10.19046,-0.419724,-1.217411,-11.01,0.007724524,-4.138135,-10.24418,-0.3383726
-4.027339,-10.19028,-0.4199846,-1.217411,-11.01,0.007724524,-4.138135,-10.24415,-0.3383659
-4.0274,-10.19031,-0.4198368,-1.217411,-11.01,0.007724524,-4.138195,-10.24401,-0.3381571
-4.027397,-10.19046,-0.4196022,-1.217411,-11.01,0.007724524,-4.138174,-10.24392,-0.3382517
-4.027383,-10.19043,-0.4195352,-1.217411,-11.01,0.007724524,-4.13817,-10.24389,-0.3382756
-4.027423,-10.19026,-0.4197931,-1.217411,-11.01,0.007724524,-4.138124,-10.24394,-0.3382481
-4.027439,-10.19022,-0.4197762,-1.217411,-11.01,0.007724524,-4.13815,-10.24383,-0.3382074
-4.02745,-10.19033,-0.4196186,-1.217411,-11.01,0.007724524,-4.138141,-10.24379,-0.3382081
-4.027501,-10.19015,-0.4199274,-1.217411,-11.01,0.007724524,-4.138183,-10.24386,-0.3382727
-4.027482,-10.19017,-0.4199033,-1.217411,-11.01,0.007724524,-4.138205,-10.24379,-0.3383104
-4.027524,-10.19017,-0.4199252,-1.217411,-11.01,0.007724524,-4.138216,-10.24381,-0.3384084
-4.027421,-10.19028,-0.4198313,-1.217411,-11.01,0.007724524,-4.138068,-10.24383,-0.338437
-4.027302,-10.19021,-0.4198487,-1.217411,-11.01,0.007724524,-4.138052,-10.24378,-0.3384558
-4.027347,-10.19005,-0.4201396,-1.217411,-11.01,0.007724524,-4.13804,-10.24388,-0.338555
-4.027358,-10.18997,-0.4200706,-1.217411,-11.01,0.007724524,-4.138141,-10.24371,-0.338616
-4.027264,-10.18996,-0.4201705,-1.217411,-11.01,0.007724524,-4.138061,-10.24377,-0.3386322
-4.02733,-10.18995,-0.4201345,-1.217411,-11.01,0.007724524,-4.138137,-10.2437,-0.3386501
-4.027347,-10.19009,-0.4198599,-1.217411,-11.01,0.007724524,-4.138168,-10.24408,-0.3380722
-4.027343,-10.18991,-0.4201162,-1.217411,-11.01,0.007724524,-4.138173,-10.24363,-0.3387066
-4.027358,-10.18988,-0.4201808,-1.217411,-11.01,0.007724524,-4.138148,-10.24367,-0.3386675
-4.02732,-10.19005,-0.4199851,-1.217411,-11.01,0.007724524,-4.138108,-10.2437,-0.3387791
-4.027322,-10.19012,-0.4199984,-1.217411,-11.01,0.007724524,-4.138131,-10.24371,-0.3388182
-4.027351,-10.18999,-0.420321,-1.217411,-11.01,0.007724524,-4.138119,-10.24381,-0.338869
-4.027345,-10.19001,-0.4202921,-1.217411,-11.01,0.007724524,-4.138109,-10.2437,-0.3388726
-4.027252,-10.19,-0.4202654,-1.217411,-11.01,0.007724524,-4.137974,-10.24367,-0.3387834
-4.027269,-10.19015,-0.4199941,-1.217411,-11.01,0.007724524,-4.138019,-10.24404,-0.3380877
-4.027282,-10.18999,-0.4203532,-1.217411,-11.01,0.007724524,-4.138055,-10.24379,-0.3388742
-4.027306,-10.18994,-0.4202316,-1.217411,-11.01,0.007724524,-4.138179,-10.24357,-0.3388253
-4.02738,-10.18991,-0.4202535,-1.217411,-11.01,0.007724524,-4.138203,-10.24369,-0.3388282
-4.027398,-10.1899,-0.4203033,-1.217411,-11.01,0.007724524,-4.138143,-10.24372,-0.33878
-4.027308,-10.18997,-0.4203424,-1.217411,-11.01,0.007724524,-4.138057,-10.24386,-0.3387629
-4.02728,-10.19018,-0.4200764,-1.217411,-11.01,0.007724524,-4.13801,-10.24391,-0.3388232
-4.027328,-10.19009,-0.4204273,-1.217411,-11.01,0.007724524,-4.137985,-10.24394,-0.3388525
-4.027363,-10.19024,-0.4204376,-1.217411,-11.01,0.007724524,-4.138014,-10.24408,-0.3388509
-4.027296,-10.19023,-0.4204004,-1.217411,-11.01,0.007724524,-4.137991,-10.24395,-0.338652
-4.027357,-10.19043,-0.4200382,-1.217411,-11.01,0.007724524,-4.138103,-10.24386,-0.3385142
-4.027315,-10.19025,-0.4201868,-1.217411,-11.01,0.007724524,-4.138112,-10.24384,-0.3384851
-4.027376,-10.1902,-0.4200013,-1.217411,-11.01,0.007724524,-4.138179,-10.24364,-0.3384386
-4.027427,-10.19037,-0.419708,-1.217411,-11.01,0.007724524,-4.138166,-10.24366,-0.3383676
-4.02742,-10.19018,-0.4198887,-1.217411,-11.01,0.007724524,-4.138175,-10.24363,-0.3383077
-4.027441,-10.1902,-0.4198568,-1.217411,-11.01,0.007724524,-4.138202,-10.24366,-0.3385035
-4.02741,-10.19014,-0.4198689,-1.217411,-11.01,0.007724524,-4.138179,-10.24365,-0.3384367
-4.027394,-10.1902,-0.4199948,-1.217411,-11.01,0.007724524,-4.138184,-10.2439,-0.3385164
-4.027307,-10.19042,-0.4197538,-1.217411,-11.01,0.007724524,-4.137995,-10.2439,-0.3384622
-4.027294,-10.19022,-0.4200304,-1.217411,-11.01,0.007724524,-4.137961,-10.2439,-0.3384358
-4.027382,-10.19025,-0.4200761,-1.217411,-11.01,0.007724524,-4.138152,-10.24394,-0.338499
-4.027372,-10.19024,-0.4198909,-1.217411,-11.01,0.007724524,-4.138175,-10.24375,-0.3384362
-4.027382,-10.19021,-0.4198244,-1.217411,-11.01,0.007724524,-4.138177,-10.24413,-0.3378135
-4.02738,-10.19019,-0.4198039,-1.217411,-11.01,0.007724524,-4.13815,-10.2437,-0.3384072
-4.027293,-10.1902,-0.4198382,-1.217411,-11.01,0.007724524,-4.13801,-10.2438,-0.3384463
-4.027339,-10.19023,-0.419781,-1.217411,-11.01,0.007724524,-4.138135,-10.24381,-0.3384033
-4.027316,-10.19024,-0.419832,-1.217411,-11.01,0.007724524,-4.138077,-10.24388,-0.3382922
-4.027343,-10.19027,-0.4198048,-1.217411,-11.01,0.007724524,-4.138061,-10.24393,-0.3382369
-4.027377,-10.19027,-0.4198754,-1.217411,-11.01,0.007724524,-4.138049,-10.24397,-0.3381566
-4.027336,-10.19031,-0.4199114,-1.217411,-11.01,0.007724524,-4.138095,-10.24405,-0.3381869
-4.027315,-10.19033,-0.4197688,-1.217411,-11.01,0.007724524,-4.13808,-10.24409,-0.3380779
-4.027306,-10.1903,-0.4197948,-1.217411,-11.01,0.007724524,-4.138028,-10.24411,-0.338123
